Epoch,Loss
0,142.9152877719207
1,209.1800528115292
2,289.66983778095835
3,420.62698317024086
4,587.3246211236733
5,847.8847347785032
6,1190.6729758764
7,1711.6539721075856
8,2413.139314966228
9,3458.521550129052
10,4889.277299715477
11,6992.23237317333
12,9903.699753809075
13,14141.780324850975
14,20056.88908847397
15,28608.831623804635
16,40612.89479539327
17,57885.344446024654
18,82227.246104058
19,117134.92976109171
20,166468.56337167745
21,237048.96587115352
22,336994.8913180909
23,479747.9179046542
24,682175.7267586872
25,970966.7906737574
26,1380881.1909220028
27,1965200.9944950687
28,2795163.604499241
29,3977566.8220935343
30,5657853.48193751
31,8050697.904736645
32,11452270.720050937
33,16294965.93780495
34,23180793.84317358
35,32981933.040161613
36,46920511.99925105
37,66757592.3285103
38,94972001.11219084
39,135122156.04373327
40,192232721.9747391
41,273497531.0578408
42,389097333.29780143
43,553580669.1914686
44,787569046.9837201
45,1120492329.606804
46,1594111278.219906
47,2267969378.6401896
48,3226623969.191013
49,4590560496.987256
50,6530972939.80756
51,9291683440.08776
52,13219264050.407633
53,18807159559.350925
54,26756948058.897217
55,38067301583.09333
56,54158397650.03315
57,77051488426.71117
58,109621310761.80547
59,155958845553.2889
60,221883057460.57236
61,315674149281.6581
62,449110562621.8451
63,638951722461.7247
64,909038716941.4642
65,1293293471934.5298
66,1839973128674.4602
67,2617737745853.8027
68,3724264971512.335
69,5298527489450.34
70,7538234760310.917
71,10724677790517.469
72,15258039697417.885
73,21707675354371.332
74,30883592950538.688
75,43938212508488.95
76,62511064862516.3
77,88934742863120.8
78,126527804715603.62
79,180011613075691.47
80,256103225331467.3
81,364359077902827.2
82,518375088140108.06
83,737494295827011.0
84,1049236031128556.6
85,1492752259705187.0
86,2123744511159553.2
87,3021459722361629.0
88,4298642643214426.5
89,6115695889052173.0
90,8700824637727595.0
91,1.237869760190891e+16
92,1.761122187615826e+16
93,2.50555549416116e+16
94,3.5646636821906052e+16
95,5.071461099717173e+16
96,7.215187710870022e+16
97,1.0265076047515078e+17
98,1.460416419037742e+17
99,2.0777402053910224e+17
